year,revenue_idr_mn,gross_profit_idr_mn,net_income_consolidated_idr_mn,net_income_parent_idr_mn,total_assets_idr_mn,total_loans_idr_mn,total_liabilities_idr_mn,total_equity_idr_mn,parent_equity_idr_mn,gross_margin_pct,net_margin_pct,roe_pct,roa_pct,liabilities_to_equity_pct,loans_to_equity_pct,ebitda_adj_idr_mn,marketing_sales_idr_mn
2015,3139920,1388535,331443,,9740695,3509514,4762940,4977754,,44,11,7,3,96,71,,
2016,2931015,1243176,426542,,10733598,3564982,5095108,5638491,,42,15,8,4,90,63,,
2017,2994759,1136897,149841,,11266320,4041231,5366080,5900240,,38,5,3,1,91,68,,
2018,2711870,1179024,67100,,11783772,4358957,5731263,6052509,,43,2,1,1,95,72,,
2019,2253944,843451,141140,,12184611,4177430,5877596,6307015,,37,6,2,1,93,66,657000,
2020,2396086,1018406,45250,,12200175,4239570,5939921,6260254,,43,2,1,0.4,95,68,789000,
2021,2490256,1092572,87636,-5165,12292090,4301180,5920080,6372010,5256817,44,4,1,0.7,93,68,817000,
2022,2747185,1427172,40981,-64035,13110459,5003670,6605084,6505376,5192086,52,1,1,0.3,102,77,1087000,1717000
2023,3299597,1536433,528623,305576,12947435,4419084,6016058,6931377,5466891,46,16,8,4.1,87,64,1253000,2213000
2024,4602648,1967179,770058,363308,14017356,4498180,6478399,7538957,5831634,43,17,10,5.5,86,60,1617000,3188000
2025,5149425,2033036,857124,423198,15056220,4606521,6911851,8144369,6263550,39,17,11,5.7,85,57,1736000,3601000
